,boc1,smc1,sc1,lcoc1,hoc1,rsc1,so-premp-c1,brl=,palm_oil
count,2762.0,2762.0,2762.0,2762.0,2762.0,2762.0,2520.0,2520.0,2761.0
mean,42.06940985125101,351.0502896915908,1114.6489862418537,69.88081824295077,2.1780917448592136,586.112907313541,-54.41547619047619,4.174408650793651,783.6795943906084
std,13.771002746233378,61.45946968773299,227.97425577774024,20.082248786725952,0.6924279918827355,171.28387955354356,488.821300267539,1.0971079187046295,240.22567555118127
min,24.99,257.2,791.0,19.99,0.6104,394.0,-2380.0,2.152,419.65881463850764
25%,31.3825,303.8,938.0625,55.597500000000004,1.665675,470.325,-22.0,3.24595,607.0968026998407
50%,35.795,328.8,1029.0,67.755,2.10745,513.0,9.0,4.0131499999999996,736.6499440270132
75%,51.03750030517578,397.2,1295.1875,81.71,2.5642,639.0,172.5,5.1934499999999995,924.5
max,90.6,521.9,1769.0,127.98,5.1354,1226.0,1000.0,6.2896,1866.3644924992448
